impressum.licenses.inter.text@en|Inter Font by Rasmus Andersson, SIL Open Font License 1.1|Inter font license text English
impressum.licenses.feather.title@de|Feather Icons|Feather icons license German
impressum.licenses.feather.title@en|Feather Icons|Feather icons license English
impressum.licenses.feather.text@de|Feather Icons von Cole Bemis, MIT License|Feather icons license text German
impressum.licenses.feather.text@en|Feather Icons by Cole Bemis, MIT License|Feather icons license text English
impressum.licenses.svg.title@de|SVG-Optimierungen|SVG optimization license German
impressum.licenses.svg.title@en|SVG Optimizations|SVG optimization license English
impressum.licenses.svg.text@de|SVG-Optimierungen mit eigenen Tools durchgeführt.|SVG license text German
impressum.licenses.svg.text@en|SVG optimizations performed with own tools.|SVG license text English
key|value|comment
impressum.info.technical.title@de|Technische Informationen|Technical information section title German
impressum.info.technical.title@en|Technical Information|Technical information section title English
impressum.info.technical.co2.title@de|CO2-neutrales Hosting|CO2 neutral hosting title German
impressum.info.technical.co2.title@en|CO2-neutral Hosting|CO2 neutral hosting title English
impressum.info.technical.co2.hosting@de|Diese Website wird auf CO2-neutralen Servern gehostet.|CO2 hosting description German
impressum.info.technical.co2.hosting@en|This website is hosted on CO2-neutral servers.|CO2 hosting description English
impressum.info.technical.co2.energy@de|100% erneuerbare Energie|100% renewable energy German
impressum.info.technical.co2.energy@en|100% renewable energy|100% renewable energy English
impressum.info.technical.co2.iso@de|ISO 14001 zertifiziertes Rechenzentrum|ISO 14001 certified data center German
impressum.info.technical.co2.iso@en|ISO 14001 certified data center|ISO 14001 certified data center English
impressum.info.technical.co2.dsgvo@de|DSGVO-konformes Hosting in Deutschland|GDPR compliant hosting in Germany German
impressum.info.technical.co2.dsgvo@en|GDPR compliant hosting in Germany|GDPR compliant hosting in Germany English
impressum.info.technical.accessibility.title@de|Barrierefreiheit|Accessibility title German
impressum.info.technical.accessibility.title@en|Accessibility|Accessibility title English
impressum.info.technical.accessibility.text@de|Diese Website ist nach WCAG 2.1 AA Standards entwickelt und unterstützt Screenreader sowie Tastaturnavigation.|Accessibility description German
impressum.info.technical.accessibility.text@en|This website is developed according to WCAG 2.1 AA standards and supports screen readers and keyboard navigation.|Accessibility description English
impressum.info.technical.browsers.title@de|Browser-Kompatibilität|Browser compatibility title German
impressum.info.technical.browsers.title@en|Browser Compatibility|Browser compatibility title English
impressum.info.technical.browsers.modern@de|Diese Website unterstützt alle modernen Browser.|Modern browsers support German
impressum.info.technical.browsers.modern@en|This website supports all modern browsers.|Modern browsers support English
impressum.info.technical.browsers.compatibility@de|Getestet mit folgenden Browser-Engines:|Browser engine compatibility German
impressum.info.technical.browsers.compatibility@en|Tested with the following browser engines:|Browser engine compatibility English
impressum.info.technical.browsers.webkit@de|WebKit (Safari, iOS Safari)|WebKit browsers German
impressum.info.technical.browsers.webkit@en|WebKit (Safari, iOS Safari)|WebKit browsers English
impressum.info.technical.browsers.blink@de|Blink (Chrome, Edge, Opera)|Blink browsers German
impressum.info.technical.browsers.blink@en|Blink (Chrome, Edge, Opera)|Blink browsers English
impressum.info.technical.browsers.quantum@de|Quantum (Firefox)|Quantum browser German
impressum.info.technical.browsers.quantum@en|Quantum (Firefox)|Quantum browser English
impressum.info.legal.title@de|Rechtliche Hinweise|Legal information title German
impressum.info.legal.title@en|Legal Information|Legal information title English
impressum.info.legal.liability.title@de|Haftung für Inhalte|Content liability title German
impressum.info.legal.liability.title@en|Liability for Content|Content liability title English
impressum.info.legal.liability.text@de|Die Inhalte dieser Seiten wurden mit größter Sorgfalt erstellt. Für die Richtigkeit, Vollständigkeit und Aktualität der Inhalte kann jedoch keine Gewähr übernommen werden.|Content liability text German
impressum.info.legal.liability.text@en|The contents of these pages were created with the greatest care. However, no guarantee can be given for the accuracy, completeness and timeliness of the contents.|Content liability text English
impressum.info.legal.links.title@de|Haftung für Links|Link liability title German
impressum.info.legal.links.title@en|Liability for Links|Link liability title English
impressum.info.legal.links.text@de|Diese Website enthält Links zu externen Webseiten Dritter, auf deren Inhalte ich keinen Einfluss habe. Für diese fremden Inhalte kann daher keine Gewähr übernommen werden.|Link liability text German
impressum.info.legal.links.text@en|This website contains links to external third-party websites over whose content I have no influence. Therefore, no guarantee can be given for this external content.|Link liability text English
impressum.info.legal.odr.title@de|EU-Streitschlichtung|EU dispute resolution title German
impressum.info.legal.odr.title@en|EU Dispute Resolution|EU dispute resolution title English
impressum.info.legal.odr.text@de|Die Europäische Kommission stellt eine Plattform zur Online-Streitbeilegung (OS) bereit:|EU ODR platform text German
impressum.info.legal.odr.text@en|The European Commission provides a platform for online dispute resolution (ODR):|EU ODR platform text English
impressum.info.legal.odr.participation@de|Ich bin nicht bereit oder verpflichtet, an Streitbeilegungsverfahren vor einer Verbraucherschlichtungsstelle teilzunehmen.|ODR participation disclaimer German
impressum.info.legal.odr.participation@en|I am not willing or obliged to participate in dispute resolution procedures before a consumer arbitration board.|ODR participation disclaimer English
impressum.info.misc.title@de|Sonstiges|Miscellaneous title German
impressum.info.misc.title@en|Miscellaneous|Miscellaneous title English
impressum.info.technical.cookies.title@de|Cookies und Tracking|Cookies and tracking title German
impressum.info.technical.cookies.title@en|Cookies and Tracking|Cookies and tracking title English
impressum.info.technical.cookies.text@de|Diese Website verwendet keine Cookies und keine Tracking-Technologien. Alle Funktionen sind rein statisch.|Cookies policy German
impressum.info.technical.cookies.text@en|This website uses no cookies and no tracking technologies. All functions are purely static.|Cookies policy English
impressum.info.misc.detection.title@de|Geräteerkennung|Device detection title German
impressum.info.misc.detection.title@en|Device Detection|Device detection title English
impressum.info.misc.detection.language@de|Sprache|Language detection German
impressum.info.misc.detection.language@en|Language|Language detection English
impressum.info.misc.detection.monitor@de|Bildschirm|Monitor detection German
impressum.info.misc.detection.monitor@en|Monitor|Monitor detection English
impressum.info.misc.detection.pixelratio@de|Pixelverhältnis|Pixel ratio detection German
impressum.info.misc.detection.pixelratio@en|Pixel Ratio|Pixel ratio detection English
impressum.info.misc.update.title@de|Letzte Aktualisierung|Last update title German
impressum.info.misc.update.title@en|Last Update|Last update title English
impressum.info.misc.update.fallback@de|Informationen nicht verfügbar|Update info fallback German
impressum.info.misc.update.fallback@en|Information not available|Update info fallback English
key|value|comment
page-footer.tech.description@de|Minimalistisch, schnell und ohne JavaScript-Bloat. Gebaut für Leistung und Lesbarkeit|Footer tech description
page-footer.tech.description@en|Minimalist, fast and without JavaScript bloat. Built for performance and readability|Footer tech description
page-footer.copyright.text@de|Alle Rechte vorbehalten|Copyright text part (after name)
page-footer.copyright.text@en|All rights reserved|Copyright text part (after name)
page-footer.impressum@de|Impressum|Impressum link text
page-footer.impressum@en|Imprint|Impressum link text
page-footer.email@de|hello@vvoss.dev|Contact email
page-footer.email@en|hello@vvoss.dev|Contact email
page-footer.contact@de|Kontakt|Contact link text
page-footer.contact@en|Contact|Contact link text
page-footer.dev.info.title@de|Client Info|Dev mode debug info title
page-footer.dev.info.title@en|Client Info|Dev mode debug info title
page-footer.dev.language@de|Sprache|Dev mode language label
page-footer.dev.language@en|Language|Dev mode language label
page-footer.dev.device@de|Gerät|Dev mode device label
page-footer.dev.device@en|Device|Dev mode device label
page-footer.dev.breakpoint@de|Breakpoint|Dev mode breakpoint label
page-footer.dev.breakpoint@en|Breakpoint|Dev mode breakpoint label
page-footer.dev.mode@de|Modus|Dev mode interaction label
page-footer.dev.mode@en|Mode|Dev mode interaction label
page-footer.dev.screen@de|Bildschirm|Dev mode screen label
page-footer.dev.screen@en|Screen|Dev mode screen label
page-footer.dev.viewport@de|Viewport|Dev mode viewport label
page-footer.dev.viewport@en|Viewport|Dev mode viewport label
page-footer.dev.dpr@de|DPR|Dev mode device pixel ratio label
page-footer.dev.dpr@en|DPR|Dev mode device pixel ratio label
key|value|comment
landing.hero.cta.label@de|Kontakt|Generic CTA label German
landing.hero.cta.label@en|Contact|Generic CTA label English
landing.hero.badge.label@de|Badge|Generic badge label German
landing.hero.badge.label@en|Badge|Generic badge label English
key|value|comment
page-header.main.label@de|Hauptnavigation|Main navigation aria label
page-header.main.label@en|Main navigation|Main navigation aria label
page-header.home.label@de|Startseite|Home link aria label
page-header.home.label@en|Home|Home link aria label
page-header.logo.title@de|Principle Software Architect|Logo subtitle/tagline text
page-header.logo.title@en|Principle Software Architect|Logo subtitle/tagline text
page-header.logo.name@de|vivian voss|Logo name
page-header.logo.name@en|vivian voss|Logo name
page-header.knowledge.label@de|Technisches Wissen|Knowledge navigation label
page-header.knowledge.label@en|Technical Knowledge|Knowledge navigation label
page-header.knowledge.text@de|Wissen|Knowledge navigation text
page-header.knowledge.text@en|Knowledge|Knowledge navigation text
page-header.portfolio.label@de|Portfolio und Projekte|Portfolio navigation label
page-header.portfolio.label@en|Portfolio and Projects|Portfolio navigation label
page-header.portfolio.text@de|Portfolio|Portfolio navigation text
page-header.portfolio.text@en|Portfolio|Portfolio navigation text
page-header.blog.label@de|Blog und Artikel|Blog navigation label
page-header.blog.label@en|Blog and Articles|Blog navigation label
page-header.blog.text@de|Blog|Blog navigation text
page-header.blog.text@en|Blog|Blog navigation text
page-header.impressum.label@de|Impressum und rechtliche Hinweise|Impressum navigation label
page-header.impressum.label@en|Imprint and Legal|Impressum navigation label
page-header.impressum.text@de|Impressum|Impressum navigation text
page-header.impressum.text@en|Imprint|Impressum navigation text
page-header.menu.knowledge@de|Wissen|Knowledge menu text
page-header.menu.knowledge@en|Knowledge|Knowledge menu text
page-header.menu.portfolio@de|Portfolio|Portfolio menu text
page-header.menu.portfolio@en|Portfolio|Portfolio menu text
page-header.menu.blog@de|Blog|Blog menu text
page-header.menu.blog@en|Blog|Blog menu text
page-header.menu.impressum@de|Impressum|Impressum menu text
page-header.menu.impressum@en|Imprint|Impressum menu text
page-header.lang.switch@de|Sprache wechseln|Language switch aria label
page-header.lang.switch@en|Switch language|Language switch aria label
key|value|comment
landing.compare.cons.title@de|Nachteile|Generic disadvantages title German
landing.compare.cons.title@en|Disadvantages|Generic disadvantages title English
landing.compare.pros.title@de|Vorteile|Generic advantages title German
landing.compare.pros.title@en|Advantages|Generic advantages title English
landing.compare.section.title@de|Vergleich|Generic section title German
landing.compare.section.title@en|Comparison|Generic section title English
key|value|comment
knowledge.index.index.title@de|Fachbegriff-Index|Index title German
knowledge.index.index.title@en|Technical Index|Index title English
knowledge.index.glossary.label@de|Glossar|Glossary label German
knowledge.index.glossary.label@en|Glossary|Glossary label English
knowledge.index.alphabetical.label@de|Alphabetisch|Alphabetical label German
knowledge.index.alphabetical.label@en|Alphabetical|Alphabetical label English
key|value|comment
impressum.intro.title@de|Impressum|Impressum page title German
impressum.intro.title@en|Legal Notice|Impressum page title English
impressum.intro.responsible.title@de|Verantwortlich für den Inhalt|Responsible person section title German
impressum.intro.responsible.title@en|Responsible for Content|Responsible person section title English
impressum.intro.responsible.name@de|Vivian Voss|Name of responsible person German
impressum.intro.responsible.name@en|Vivian Voss|Name of responsible person English
impressum.intro.responsible.street@de|Musterstraße 123|Street address German
impressum.intro.responsible.street@en|Musterstraße 123|Street address English
impressum.intro.responsible.city@de|12345 Berlin|City and postal code German
impressum.intro.responsible.city@en|12345 Berlin|City and postal code English
impressum.intro.responsible.country@de|Deutschland|Country German
impressum.intro.responsible.country@en|Germany|Country English
impressum.intro.contact.title@de|Kontakt|Contact section title German
impressum.intro.contact.title@en|Contact|Contact section title English
impressum.intro.contact.email.label@de|E-Mail:|Email label German
impressum.intro.contact.email.label@en|Email:|Email label English
impressum.intro.contact.email.value@de|kontakt@vvoss.dev|Contact email address German
impressum.intro.contact.email.value@en|contact@vvoss.dev|Contact email address English
impressum.intro.contact.web.label@de|Website:|Website label German
impressum.intro.contact.web.label@en|Website:|Website label English
impressum.intro.legal.title@de|Rechtliche Hinweise|Legal section title German
impressum.intro.legal.title@en|Legal Information|Legal section title English
impressum.intro.legal.disclaimer@de|Alle Angaben ohne Gewähr. Trotz sorgfältiger inhaltlicher Kontrolle übernehme ich keine Haftung für die Inhalte externer Links.|Legal disclaimer German
impressum.intro.legal.disclaimer@en|All information without guarantee. Despite careful content control, I assume no liability for the content of external links.|Legal disclaimer English
impressum.intro.privacy.title@de|Datenschutz|Privacy section title German
impressum.intro.privacy.title@en|Privacy|Privacy section title English
impressum.intro.privacy.text@de|Diese Website erhebt keine personenbezogenen Daten und verwendet keine Cookies oder Tracking-Technologien.|Privacy policy text German
impressum.intro.privacy.text@en|This website does not collect personal data and uses no cookies or tracking technologies.|Privacy policy text English
key|value|comment
page.placeholder.title@de|Seite in Entwicklung|Placeholder page title
page.placeholder.title@en|Page Under Development|Placeholder page title
page.placeholder.subtitle@de|Diese Seite wird derzeit überarbeitet|Placeholder page subtitle
page.placeholder.subtitle@en|This page is currently being redesigned|Placeholder page subtitle
page.placeholder.email@de|hello@vvoss.dev|Contact email
page.placeholder.email@en|hello@vvoss.dev|Contact email
page.placeholder.availability.de@de|Verfügbar für Enterprise-Architektur-Projekte und technische Beratung|Contact availability info
page.placeholder.availability.de@en|Available for enterprise architecture projects and technical consulting|Contact availability info
page.placeholder.message@de|Diese Seite befindet sich noch im Aufbau. Schauen Sie bald wieder vorbei!|Generic placeholder message
page.placeholder.message@en|This page is still under construction. Please check back soon!|Generic placeholder message
key|value|comment
landing.compare.no.item1@de|Teams, bei denen historisch gewachsene Strukturen unter Artenschutz stehen|Content text for de locale
landing.compare.no.item1@en|Teams where legacy structures are protected species|Content text for en locale
landing.compare.no.item2@de|Umgebungen, in denen Code-Tradition mehr zählt als technische Überlegenheit|Content text for de locale
landing.compare.no.item2@en|Environments where code tradition outweighs technical superiority|Content text for en locale
landing.compare.no.item3@de|Strukturen, in denen Kompromisse wichtiger sind als Problemlösungen|Content text for de locale
landing.compare.no.item3@en|Structures where compromises matter more than solutions|Content text for en locale
landing.compare.no.item4@de|Kulturen, die Agilität und Meetingexzesse mit Fortschritt verwechseln|Content text for de locale
landing.compare.no.item4@en|Cultures that confuse agility and meeting excess with progress|Content text for en locale
landing.compare.no.item5@de|Systeme, in denen Komplexität und bunte Graphen als Kompetenznachweis gelten|Content text for de locale
landing.compare.no.item5@en|Systems where complexity and colourful graphs count as proof of competence|Content text for en locale
landing.compare.no.title@de|Wo ich NICHT helfen kann:|Content text for de locale
landing.compare.no.title@en|Where I CANNOT help:|Content text for en locale
landing.compare.subtitle@de|Wenn alle 'innovative Cloud-Native Solutions' bewundern, zeige ich auf die nackte Komplexität|Content text for de locale
landing.compare.subtitle@en|While everyone admires 'innovative cloud-native solutions', I point at the naked complexity|Content text for en locale
landing.compare.title@de|Für Teams, die des Kaisers neue Kleider beim Namen nennen|Content text for de locale
landing.compare.title@en|For Teams Who Call Out the Emperor's New Clothes|Content text for en locale
landing.compare.yes.item1@de|Bei verzwickten Architektur-Problemen die Sie schon innerlich aufgegeben haben|Content text for de locale
landing.compare.yes.item1@en|With intricate architecture problems you've already given up on internally|Content text for en locale
landing.compare.yes.item2@de|Teams die wirklich bereit sind bewährte Prinzipien über populäre Frameworks zu stellen|Content text for de locale
landing.compare.yes.item2@en|Teams truly ready to put proven principles over popular frameworks|Content text for en locale
landing.compare.yes.item3@de|Organisationen die langfristige Verlässlichkeit höher als kurzfristige Features priorisieren|Content text for de locale
landing.compare.yes.item3@en|Organisations that prioritise long-term reliability over short-term features|Content text for en locale
landing.compare.yes.item4@de|Bei technischen Herausforderungen mit bedeutendem konzeptionellem Umfang|Content text for de locale
landing.compare.yes.item4@en|With technical challenges of significant conceptual scope|Content text for en locale
landing.compare.yes.item5@de|Unternehmen die Technical Excellence belohnen|Content text for de locale
landing.compare.yes.item5@en|Companies that reward technical excellence|Content text for en locale
landing.compare.yes.title@de|Wo ich Lösungen biete:|Content text for de locale
landing.compare.yes.title@en|Where I offer solutions:|Content text for en locale
landing.contact.availability@de|"25+ Jahre Polyglot-Entwicklung: Rust, PHP, Python, Java, Javascript/Typescript und mehr. Von FreeBSD über Linux bis macOS. Spezialisiert auf Enterprise-Architektur mit messbar reduzierten Betriebskosten und eliminierten Vendor-Dependencies. You say Docker! I say <a href=""/de/wissen/bastille-jail-verwaltung"">Jail</a>!"|Content text for de locale
landing.contact.availability@en|"25+ years polyglot development: Rust, PHP, Python, Java, Javascript/Typescript and more. From FreeBSD through Linux to macOS. Specialised in enterprise architecture with measurably reduced operational costs and eliminated vendor dependencies. You say Docker! I say <a href=""/en/knowledge/bastille-jail-management"">Jail</a>!"|Content text for en locale
landing.contact.email@de|ask+42@vvoss.dev|Content text for de locale
landing.contact.email@en|ask+42@vvoss.dev|Content text for en locale
landing.contact.subtitle@de|25 Jahre Erfahrung mit beidem: Was alle machen und was tatsächlich funktioniert|Content text for de locale
landing.contact.subtitle@en|25 years experience with both: what everyone does and what actually works|Content text for en locale
landing.contact.title@de|Interesse an einem fachlichen Austausch?|Content text for de locale
landing.contact.title@en|Interested in a technical exchange?|Content text for en locale
landing.hero.badge.audience@de|Enterprise|Content text for de locale
landing.hero.badge.audience@en|Enterprise|Content text for en locale
landing.hero.badge.experience@de|25+ Jahre|Content text for de locale
landing.hero.badge.experience@en|25+ Years|Content text for en locale
landing.hero.badge.topic@de|System-Architektur|Content text for de locale
landing.hero.badge.topic@en|System Architecture|Content text for en locale
landing.hero.cta.primary@de|Interesse an einem fachlichen Austausch?|Content text for de locale
landing.hero.cta.primary@en|Interested in a technical exchange?|Content text for en locale
landing.hero.description@de|Meine Anti-Komplexitäts-Philosophie: Ockham ist mein bester Freund. Warum 47 Services, wenn einer reicht? Warum 800 KB JavaScript, wenn 12 KB genügen? Warum ein 200.000 Euro teurer Enterprise-Storage, wenn ein bewährtes FreeBSD für 200 Euro exakt das Gleiche leistet? Angst, Ihre Experten können das nicht leisten? Glauben Sie mir, die schlagen sich tagtäglich mit deutlich komplexeren Technologien herum!|Content text for de locale
landing.hero.description@en|My anti-complexity philosophy: Ockham is my best friend. Why 47 services when one suffices? Why 800 KB JavaScript when 12 KB is enough? Why a 200,000 euro enterprise storage when proven FreeBSD delivers exactly the same for 200 euros? Afraid your experts can't handle it? Trust me, they're wrestling with far more complex technologies every day!|Content text for en locale
landing.hero.headline@de|Entwickler mit einer notorischen Schwäche für effiziente und zugleich realistische Lösungen|Content text for de locale
landing.hero.headline@en|Developer with a notorious weakness for efficient yet realistic solutions|Content text for en locale
landing.hero.subtitle@de|Ich eliminiere Problemkategorien durch fundamentale Systemneugestaltung, anstatt Symptome mit noch komplexerer Technologie zu behandeln. Nach 25 Jahren Enterprise-Frustrationen zeige ich offen und ehrlich, was ohne Corporate-Politik möglich ist.|Content text for de locale
landing.hero.subtitle@en|I eliminate problem categories through fundamental system redesign, rather than treating symptoms with even more complex technology. After 25 years of enterprise frustrations, I openly and honestly show what's possible without corporate politics.|Content text for en locale
landing.metrics.item1.description@de|Von 15 Minuten auf 30 Sekunden und das nur durch bewährte Unix-Philosophie?! Moment: Aber dann bräuchte man ja keine 47 Kubernetes-Pods mehr, kein Docker-Sammelsurium, keine Cloud-Native-Consultants! Einfach rsync und systemd – aber das klingt ja nicht innovativ genug fürs Management.<br><br>Wie erklärt man das dem Management, das gerade Millionen in „Cloud-Native“ investiert hat?|Content text for de locale
landing.metrics.item1.description@en|From 15 minutes to 30 seconds and that just through proven Unix philosophy?! Wait: But then you wouldn't need 47 Kubernetes pods anymore, no Docker hodgepodge, no cloud-native consultants! Just rsync and systemd – but that doesn't sound innovative enough for management.<br><br>How do you explain that to management who just invested millions in 'cloud-native'?|Content text for en locale
landing.metrics.item1.label@de|schnellere Deployments|Content text for de locale
landing.metrics.item1.label@en|faster deployments|Content text for en locale
landing.metrics.item1.number@de|30×|Content text for de locale
landing.metrics.item1.number@en|30×|Content text for en locale
landing.metrics.item2.description@de|Queries, schneller als Ihre Nutzer klicken können! Ich sage: Direct-Access statt JOIN-Hölle! Lustig, wie alle „NoSQL“ schreien, aber dann doch wieder relationale Datenbanken falsch benutzen. MongoDB installieren, um dann Relationen nachzubauen – der Klassiker der modernen Softwareentwicklung!<br><br>Als ob das Problem die Technologie wäre und nicht das Verständnis!|Content text for de locale
landing.metrics.item2.description@en|Queries faster than your users can click! I say: Direct access instead of JOIN hell! Funny how everyone screams 'NoSQL' but then misuses relational databases anyway. Installing MongoDB just to rebuild relations – the classic of modern software development!<br><br>As if the problem was the technology and not the understanding!|Content text for en locale
landing.metrics.item2.label@de|Sub-Millisekunden-Queries|Content text for de locale
landing.metrics.item2.label@en|Sub-Millisecond Queries|Content text for en locale
landing.metrics.item2.number@de|<1ms|Content text for de locale
landing.metrics.item2.number@en|<1ms|Content text for en locale
landing.metrics.item3.description@de|"Ein 200.000 Euro Enterprise-Storage ersetzt durch ein 200 Euro FreeBSD mit skalierbaren <a href=""/de/wissen/bastille-jail-verwaltung"">Jails</a>. Gleiche Skalierbarkeit – Null Vendor-Lock-in! Nicht untypisch für „Enterprise Appliances“ – kratzt man die Oberfläche ab, findet man die von mir angepriesenen effektiven Lösungen mit ein paar kleinen Scripts für mehr Convenience.<br><br>Darf natürlich keiner wissen, sonst bricht das ganze Geschäftsmodell zusammen!"|Content text for de locale
landing.metrics.item3.description@en|"A 200,000 euro enterprise storage replaced by a 200 euro FreeBSD with scalable <a href=""/en/knowledge/bastille-jail-management"">jails</a>. Same scalability – zero vendor lock-in! Not untypical for 'enterprise appliances' – scratch the surface and you'll find the effective solutions I'm advocating, plus a few little scripts for more convenience.<br><br>Nobody's supposed to know that, or the whole business model collapses!"|Content text for en locale
landing.metrics.item3.label@de|Kostenverhältnis|Content text for de locale
landing.metrics.item3.label@en|Cost ratio|Content text for en locale
landing.metrics.item3.number@de|1000:1|Content text for de locale
landing.metrics.item3.number@en|1000:1|Content text for en locale
landing.metrics.subtitle@de|Hardware-bewusste Performance-Optimierung mit TCO-Fokus|Content text for de locale
landing.metrics.subtitle@en|Hardware-aware performance optimisation with TCO focus|Content text for en locale
landing.metrics.title@de|Was mit bewährten Technologien heute schon möglich ist|Content text for de locale
landing.metrics.title@en|What's already possible today with proven technologies|Content text for en locale
landing.philosophy.title@de|Anti-Komplexitäts-Philosophie|Philosophy section title
landing.philosophy.title@en|Anti-Complexity Philosophy|Philosophy section title
landing.philosophy.subtitle@de|Weniger ist mehr – besonders in der Enterprise-Softwareentwicklung|Philosophy section subtitle
landing.philosophy.subtitle@en|Less is more – especially in enterprise software development|Philosophy section subtitle
landing.philosophy.content@de|Enterprise-Entwickler sind Meister im Symptome-Behandeln. Performance-Problem? Mehr Server! Deployment zu langsam? Mehr Tools! Ich mache das Gegenteil: Weniger von allem. Klingt verrückt? Nur für die, die ihre Komplexität lieben gelernt haben. Zeit für Ockham's Rasiermesser.|Philosophy main content
landing.philosophy.content@en|Enterprise developers are masters at treating symptoms. Performance problem? More servers! Deployment too slow? More tools! I do the opposite: less of everything. Sounds crazy? Only to those who've learned to love their complexity. Time for Ockham's razor.|Philosophy main content
landing.philosophy.quote@de|Enterprise-Entwickler sind Meister im Symptome-Behandeln. Performance-Problem? Mehr Server! Deployment zu langsam? Mehr Tools! Ich mache das Gegenteil: Weniger von allem. Klingt verrückt? Nur für die, die ihre Komplexität lieben gelernt haben. Zeit für Ockham's Rasiermesser.|Content text for de locale
landing.philosophy.quote@en|Enterprise developers are masters at treating symptoms. Performance problem? More servers! Deployment too slow? More tools! I do the opposite: less of everything. Sounds crazy? Only to those who've learned to love their complexity. Time for Ockham's razor.|Content text for en locale
landing.problems.card1.description@de|Jedes Update ist ein Glücksspiel: Geht die CI/CD-Pipeline diesmal stabil durch? Rollbacks dauern jedes Mal zu lange und blockieren das halbe Team. Das ist Russisch Roulette – auf einer sehr kostenintensiven Ebene.<br><br>„Das ist halt modern DevOps“ — Nein, das ist kaputte Architektur.|Content text for de locale
landing.problems.card1.description@en|Every update is a gamble: Will the CI/CD pipeline run stable this time? Rollbacks take too long every time and block half the team. That’s Russian roulette – at a very expensive level.<br><br>'That’s just modern DevOps' — No, that’s broken architecture.|Content text for en locale
landing.problems.card1.number@de|01|Content text for de locale
landing.problems.card1.number@en|01|Content text for en locale
landing.problems.card1.title@de|Deployment-Roulette|Content text for de locale
