key|value|comment
knowledge-term.agility.cons.2@de|Fragmentierte Features statt kohärente Systeme|Content text for de locale
knowledge-term.agility.cons.2@en|Fragmented features instead of coherent systems|Content text for en locale
knowledge-term.agility.cons.3@de|Velocity-Metriken über technische Qualität|Content text for de locale
knowledge-term.agility.cons.3@en|Velocity metrics over technical quality|Content text for en locale
knowledge-term.agility.cons.4@de|Prozess-Theater statt echte Beweglichkeit|Content text for de locale
knowledge-term.agility.cons.4@en|Process theater instead of real agility|Content text for en locale
knowledge-term.agility.cons.5@de|Sprint-Commitment verhindert gründliches Debugging|Content text for de locale
knowledge-term.agility.cons.5@en|Sprint commitment prevents thorough debugging|Content text for en locale
knowledge-term.agility.pros.title@de|Vorteile|Content text for de locale
knowledge-term.agility.pros.title@en|Advantages|Content text for en locale
knowledge-term.agility.pros.1@de|Ursprüngliche Idee war gut gemeint|Content text for de locale
knowledge-term.agility.pros.1@en|Original idea was well-intentioned|Content text for en locale
knowledge-term.agility.pros.2@de|Kanban besser als reines Scrum|Content text for de locale
knowledge-term.agility.pros.2@en|Kanban better than pure Scrum|Content text for en locale
knowledge-term.agility.pros.3@de|"Management fühlt sich ""in control"""|Content text for de locale
knowledge-term.agility.pros.3@en|"Management feels ""in control"""|Content text for en locale
knowledge-term.agility.pros.4@de|Viele bunte Metriken für Reports|Content text for de locale
knowledge-term.agility.pros.4@en|Many colorful metrics for reports|Content text for en locale
knowledge-term.agility.pros.5@de|Consulting-Industrie liebt es|Content text for de locale
knowledge-term.agility.pros.5@en|Consulting industry loves it|Content text for en locale
knowledge-term.agility.syntax.label@de|Methoden|Content text for de locale
knowledge-term.agility.syntax.label@en|Methods|Content text for en locale
knowledge-term.agility.syntax.value@de|Scrum, Kanban, SAFe (und zu viele Meetings)|Content text for de locale
knowledge-term.agility.syntax.value@en|Scrum, Kanban, SAFe (and too many meetings)|Content text for en locale
knowledge-term.agility.security.label@de|Stabilität|Content text for de locale
knowledge-term.agility.security.label@en|Stability|Content text for en locale
knowledge-term.agility.security.value@de|MVP meist instabil und buggy|Content text for de locale
knowledge-term.agility.security.value@en|MVP usually unstable and buggy|Content text for en locale
knowledge-term.agility.performance.label@de|Effizienz|Content text for de locale
knowledge-term.agility.performance.label@en|Efficiency|Content text for en locale
knowledge-term.agility.performance.value@de|150+ Stunden Meetings pro Jahr|Content text for de locale
knowledge-term.agility.performance.value@en|150+ hours of meetings per year|Content text for en locale
knowledge-term.agility@de|Agilität|Index display name
knowledge-term.agility@en|Agility|Index display name
