key|value|comment
knowledge-term.api.enterprise@de|Jedes moderne Unternehmen hat APIs: Stripe (Payments), Twilio (SMS), AWS (Cloud), Google Maps (Geolocation). Die API-Economy ist Milliarden schwer. Ironisch: Die erfolgreichsten APIs (POSIX, Win32) sind die ältesten und stabilsten.|Content text for de locale
knowledge-term.api.enterprise@en|Every modern company has APIs: Stripe (Payments), Twilio (SMS), AWS (Cloud), Google Maps (Geolocation). The API economy is worth billions. Ironically: the most successful APIs (POSIX, Win32) are the oldest and most stable.|Content text for en locale
knowledge-term.api.compare.title@de|Bewertung|Content text for de locale
knowledge-term.api.compare.title@en|Assessment|Content text for en locale
knowledge-term.api.compare.subtitle@de|Ehrliche Einschätzung des Konzepts|Content text for de locale
knowledge-term.api.compare.subtitle@en|Honest assessment of the concept|Content text for en locale
knowledge-term.api.cons.title@de|Nachteile|Content text for de locale
knowledge-term.api.cons.title@en|Disadvantages|Content text for en locale
knowledge-term.api.cons.1@de|Versionierung ist die Hölle|Content text for de locale
knowledge-term.api.cons.1@en|Versioning is hell|Content text for en locale
knowledge-term.api.cons.2@de|Breaking Changes zerstören alles|Content text for de locale
knowledge-term.api.cons.2@en|Breaking changes destroy everything|Content text for en locale
knowledge-term.api.cons.3@de|Dokumentation meist veraltet|Content text for de locale
knowledge-term.api.cons.3@en|Documentation usually outdated|Content text for en locale
knowledge-term.api.cons.4@de|Rate Limiting nervt legitime Nutzer|Content text for de locale
knowledge-term.api.cons.4@en|Rate limiting annoys legitimate users|Content text for en locale
knowledge-term.api.cons.5@de|REST vs GraphQL vs gRPC Religionskriege|Content text for de locale
knowledge-term.api.cons.5@en|REST vs GraphQL vs gRPC religious wars|Content text for en locale
knowledge-term.api.pros.title@de|Vorteile|Content text for de locale
knowledge-term.api.pros.title@en|Advantages|Content text for en locale
knowledge-term.api.pros.1@de|Entkopplung von Systemen|Content text for de locale
knowledge-term.api.pros.1@en|Decoupling of systems|Content text for en locale
knowledge-term.api.pros.2@de|Plattformunabhängigkeit|Content text for de locale
knowledge-term.api.pros.2@en|Platform independence|Content text for en locale
knowledge-term.api.pros.3@de|Skalierbarkeit durch Instanzierung|Content text for de locale
knowledge-term.api.pros.3@en|Scalability through instantiation|Content text for en locale
knowledge-term.api.pros.4@de|Monetarisierung möglich|Content text for de locale
knowledge-term.api.pros.4@en|Monetization possible|Content text for en locale
knowledge-term.api.pros.5@de|Ökosystem-Bildung|Content text for de locale
knowledge-term.api.pros.5@en|Ecosystem formation|Content text for en locale
knowledge-term.api.syntax.label@de|Typen|Content text for de locale
knowledge-term.api.syntax.label@en|Types|Content text for en locale
knowledge-term.api.syntax.value@de|REST, GraphQL, gRPC, SOAP|Content text for de locale
knowledge-term.api.syntax.value@en|REST, GraphQL, gRPC, SOAP|Content text for en locale
knowledge-term.api.security.label@de|Sicherheit|Content text for de locale
knowledge-term.api.security.label@en|Security|Content text for en locale
knowledge-term.api.security.value@de|OAuth2, API Keys, JWT|Content text for de locale
knowledge-term.api.security.value@en|OAuth2, API Keys, JWT|Content text for en locale
knowledge-term.api.performance.label@de|Performance|Content text for de locale
knowledge-term.api.performance.label@en|Performance|Content text for en locale
knowledge-term.api.performance.value@de|Abhängig von Implementation|Content text for de locale
knowledge-term.api.performance.value@en|Depends on implementation|Content text for en locale
knowledge-term.api@de|API|Index display name
knowledge-term.api@en|API|Index display name
