file_path|line_number|function_name|signature|description|inputs|return_type|status
src/reedcms/api/list_handlers.rs|115|list_text|pub async fn list_text( _req: HttpRequest, query: web::Query<ListQuery>, ) -> HttpResponse|GET /api/v1/list/text - List all text keys.|_req: HttpRequest; query: web::Query<ListQuery>|HttpResponse|active
src/reedcms/api/list_handlers.rs|160|list_routes|pub async fn list_routes( _req: HttpRequest, query: web::Query<ListQuery>, ) -> HttpResponse|GET /api/v1/list/routes - List all route keys.|_req: HttpRequest; query: web::Query<ListQuery>|HttpResponse|active
src/reedcms/api/list_handlers.rs|203|list_layouts|pub async fn list_layouts( _req: HttpRequest, query: web::Query<ListQuery>, ) -> HttpResponse|GET /api/v1/list/layouts - List all available layouts.|_req: HttpRequest; query: web::Query<ListQuery>|HttpResponse|active
src/reedcms/api/list_handlers.rs|227|fetch_key_list|async fn fetch_key_list( cache_type: &str, query: &ListQuery, ) -> Result<ApiResponse<ListResponse>, ApiError>|Internal helper: Fetch list of keys from ReedBase cache.|cache_type: &str; query: &ListQuery|Result<ApiResponse<ListResponse>, ApiError>|active
src/reedcms/api/list_handlers.rs|294|read_keys_from_csv|async fn read_keys_from_csv(csv_path: &str) -> Result<Vec<String>, String>|Reads all keys from a CSV file.|csv_path: &str|Result<Vec<String>, String>|active
src/reedcms/api/list_handlers.rs|317|apply_filters|fn apply_filters(keys: &[String], query: &ListQuery) -> Vec<String>|Applies filters to key list.|keys: &[String]; query: &ListQuery|Vec<String>|active
src/reedcms/api/list_handlers.rs|358|fetch_layout_list|async fn fetch_layout_list( query: &ListQuery, ) -> Result<ApiResponse<ListResponse>, ApiError>|Internal helper: Fetch list of available layouts.|query: &ListQuery|Result<ApiResponse<ListResponse>, ApiError>|active
src/reedcms/api/responses.rs|69|new|pub fn new(data: T) -> Self|Creates a new successful API response.|data: T|Self|active
src/reedcms/api/responses.rs|99|with_metadata|pub fn with_metadata(data: T, key: String, language: String, environment: String) -> Self|Creates a new successful API response with full metadata.|data: T; key: String; language: String; environment: String|Self|active
src/reedcms/api/responses.rs|139|new|pub fn new(message: String) -> Self|Creates a new success response.|message: String|Self|active
src/reedcms/api/responses.rs|163|with_key|pub fn with_key(message: String, key: String) -> Self|Creates a new success response with key metadata.|message: String; key: String|Self|active
src/reedcms/api/responses.rs|205|new|pub fn new(error: String, message: String) -> Self|Creates a new error response.|error: String; message: String|Self|active
src/reedcms/api/responses.rs|232|with_key|pub fn with_key(error: String, message: String, key: String) -> Self|Creates a new error response with key metadata.|error: String; message: String; key: String|Self|active
src/reedcms/api/responses.rs|277|new|pub fn new(key: String, value: String) -> Self|Creates a new configuration response.|key: String; value: String|Self|active
src/reedcms/api/responses.rs|304|with_description|pub fn with_description(key: String, value: String, description: String) -> Self|Creates a new configuration response with description.|key: String; value: String; description: String|Self|active
src/reedcms/api/responses.rs|367|new|pub fn new(results: Vec<ApiBatchResult<T>>) -> Self|Creates a new batch response from individual results.|results: Vec<ApiBatchResult<T>>|Self|active
src/reedcms/api/responses.rs|392|success|pub fn success(key: String, data: T) -> Self|Creates a successful batch result.|key: String; data: T|Self|active
src/reedcms/api/responses.rs|409|failure|pub fn failure(key: String, error: String) -> Self|Creates a failed batch result.|key: String; error: String|Self|active
src/reedcms/api/routes.rs|71|configure_api_routes|pub fn configure_api_routes(cfg: &mut web::ServiceConfig)|Configures all API routes under /api/v1 scope.|cfg: &mut web::ServiceConfig|()|active
src/reedcms/api/routes.rs|121|test_api_routes_configured|async fn test_api_routes_configured()|No description|None|()|active
src/reedcms/api/routes.rs|139|test_invalid_route_returns_404|async fn test_invalid_route_returns_404()|No description|None|()|active
src/reedcms/api/set_handlers.rs|98|set_text|pub async fn set_text( _req: HttpRequest, body: web::Json<SetRequest>, ) -> HttpResponse|POST /api/v1/text/set - Set text data in ReedBase.|_req: HttpRequest; body: web::Json<SetRequest>|HttpResponse|active
src/reedcms/api/set_handlers.rs|148|set_route|pub async fn set_route( _req: HttpRequest, body: web::Json<SetRequest>, ) -> HttpResponse|POST /api/v1/route/set - Set route data in ReedBase.|_req: HttpRequest; body: web::Json<SetRequest>|HttpResponse|active
src/reedcms/api/set_handlers.rs|198|set_meta|pub async fn set_meta( _req: HttpRequest, body: web::Json<SetRequest>, ) -> HttpResponse|POST /api/v1/meta/set - Set metadata in ReedBase.|_req: HttpRequest; body: web::Json<SetRequest>|HttpResponse|active
src/reedcms/api/set_handlers.rs|249|set_config|pub async fn set_config( _req: HttpRequest, body: web::Json<SetRequest>, ) -> HttpResponse|POST /api/v1/config/set - Set configuration in ReedBase.|_req: HttpRequest; body: web::Json<SetRequest>|HttpResponse|active
src/reedcms/api/set_handlers.rs|273|persist_to_reedbase|async fn persist_to_reedbase( body: &SetRequest, cache_type: &str, ) -> Result<ApiSuccess, ApiError>|Internal helper: Persist data to ReedBase cache and CSV.|body: &SetRequest; cache_type: &str|Result<ApiSuccess, ApiError>|active
src/reedcms/api/set_handlers.rs|298|set_via_csv_direct|async fn set_via_csv_direct( body: &SetRequest, cache_type: &str, ) -> Result<ApiSuccess, ApiError>|Direct CSV modification fallback (when cache not available).|body: &SetRequest; cache_type: &str|Result<ApiSuccess, ApiError>|active
src/reedcms/api/set_handlers.rs|374|capitalize|fn capitalize(s: &str) -> String|Capitalises first letter of string.|s: &str|String|active
src/reedcms/auth/credentials.rs|67|extract_auth_credentials|pub fn extract_auth_credentials(req: &HttpRequest) -> ReedResult<AuthCredentials>|Extracts authentication credentials from request.|req: &HttpRequest|ReedResult<AuthCredentials>|active
src/reedcms/auth/credentials.rs|122|parse_basic_auth|fn parse_basic_auth(auth_str: &str) -> ReedResult<AuthCredentials>|Parses HTTP Basic Auth credentials.|auth_str: &str|ReedResult<AuthCredentials>|active
src/reedcms/auth/credentials.rs|181|parse_bearer_auth|fn parse_bearer_auth(auth_str: &str) -> ReedResult<AuthCredentials>|Parses Bearer token authentication.|auth_str: &str|ReedResult<AuthCredentials>|active
src/reedcms/auth/errors.rs|49|create_unauthorised_error|pub fn create_unauthorised_error() -> Error|Creates 401 Unauthorised error response.|None|Error|active
src/reedcms/auth/errors.rs|85|create_forbidden_error|pub fn create_forbidden_error() -> Error|Creates 403 Forbidden error response.|None|Error|active
src/reedcms/auth/middleware.rs|71|new|pub fn new(required_role: Option<String>, required_permission: Option<String>) -> Self|Creates new authentication middleware.|required_role: Option<String>; required_permission: Option<String>|Self|active
src/reedcms/auth/middleware.rs|79|public|pub fn public() -> Self|Creates middleware requiring no authentication (public access).|None|Self|active
src/reedcms/auth/middleware.rs|87|authenticated|pub fn authenticated() -> Self|Creates middleware requiring authentication only (any authenticated user).|None|Self|active
src/reedcms/auth/middleware.rs|95|admin_only|pub fn admin_only() -> Self|Creates middleware requiring admin role.|None|Self|active
src/reedcms/auth/middleware.rs|115|new_transform|fn new_transform(&self, service: S) -> Self::Future|No description|service: S|Self::Future|active
src/reedcms/auth/middleware.rs|143|call|fn call(&self, req: ServiceRequest) -> Self::Future|No description|req: ServiceRequest|Self::Future|active
src/reedcms/auth/rate_limit.rs|42|get_rate_limit_store|fn get_rate_limit_store() -> &'static RwLock<HashMap<String, LoginAttempt>>|Gets rate limit store (singleton).|None|&'static RwLock<HashMap<String, LoginAttempt>>|active
src/reedcms/auth/rate_limit.rs|69|is_rate_limited|pub fn is_rate_limited(username: &str) -> bool|Checks if user is rate limited.|username: &str|bool|active
src/reedcms/auth/rate_limit.rs|103|record_failed_login|pub fn record_failed_login(username: &str)|Records failed login attempt.|username: &str|()|active
src/reedcms/auth/rate_limit.rs|138|clear_failed_logins|pub fn clear_failed_logins(username: &str)|Clears failed login counter for user.|username: &str|()|active
src/reedcms/auth/rate_limit.rs|162|calculate_lockout_time|fn calculate_lockout_time(attempts: u32) -> Duration|Calculates lockout duration based on attempt count.|attempts: u32|Duration|active
src/reedcms/auth/site_protection.rs|65|new|pub fn new() -> Self|Creates new site protection middleware.|None|Self|active
src/reedcms/auth/site_protection.rs|71|default|fn default() -> Self|No description|None|Self|active
src/reedcms/auth/site_protection.rs|88|new_transform|fn new_transform(&self, service: S) -> Self::Future|No description|service: S|Self::Future|active
src/reedcms/auth/site_protection.rs|112|call|fn call(&self, req: ServiceRequest) -> Self::Future|No description|req: ServiceRequest|Self::Future|active
src/reedcms/auth/site_protection.rs|168|is_site_protection_enabled|fn is_site_protection_enabled() -> bool|Checks if site protection is enabled.|None|bool|active
src/reedcms/auth/site_protection.rs|205|verify_site_credentials|async fn verify_site_credentials( credentials: &crate::reedcms::auth::credentials::AuthCredentials, ) -> Result<bool, ReedError>|Verifies site credentials against server.auth.* configuration.|credentials: &crate::reedcms::auth::credentials::AuthCredentials|Result<bool, ReedError>|active
src/reedcms/auth/verification.rs|36|has_role|pub fn has_role(&self, role: &str) -> bool|Checks if user has specific role.|role: &str|bool|active
src/reedcms/auth/verification.rs|56|has_permission|pub fn has_permission(&self, permission: &str) -> bool|Checks if user has specific permission.|permission: &str|bool|active
src/reedcms/auth/verification.rs|100|verify_credentials|pub async fn verify_credentials(credentials: &AuthCredentials) -> ReedResult<AuthenticatedUser>|Verifies authentication credentials.|credentials: &AuthCredentials|ReedResult<AuthenticatedUser>|active
src/reedcms/auth/verification.rs|143|verify_basic_credentials|async fn verify_basic_credentials(username: &str, password: &str) -> ReedResult<AuthenticatedUser>|Verifies HTTP Basic Auth credentials.|username: &str; password: &str|ReedResult<AuthenticatedUser>|active
src/reedcms/auth/verification.rs|252|role_has_permission|fn role_has_permission(role: &str, _permission: &str) -> bool|Checks if role has specific permission.|role: &str; _permission: &str|bool|active
src/reedcms/backup/cleanup.rs|42|cleanup_old_backups|pub fn cleanup_old_backups<P: AsRef<Path>>(source_path: P) -> ReedResult<usize>|Cleans up old backups, keeping only the most recent 32.|source_path: P|ReedResult<usize>|active
src/reedcms/backup/cleanup_test.rs|10|create_test_file|fn create_test_file(content: &str) -> PathBuf|No description|content: &str|PathBuf|cfg_test
src/reedcms/backup/cleanup_test.rs|19|cleanup_test_dir|fn cleanup_test_dir(path: &PathBuf)|No description|path: &PathBuf|()|cfg_test
src/reedcms/backup/cleanup_test.rs|26|test_cleanup_old_backups_none_to_delete|fn test_cleanup_old_backups_none_to_delete()|No description|None|()|cfg_test
src/reedcms/backup/cleanup_test.rs|42|test_cleanup_old_backups_empty_directory|fn test_cleanup_old_backups_empty_directory()|No description|None|()|cfg_test
src/reedcms/backup/cleanup_test.rs|52|test_cleanup_old_backups_basic_functionality|fn test_cleanup_old_backups_basic_functionality()|No description|None|()|cfg_test
src/reedcms/backup/cleanup_test.rs|77|test_cleanup_old_backups_keeps_newest|fn test_cleanup_old_backups_keeps_newest()|No description|None|()|cfg_test
src/reedcms/backup/cleanup_test.rs|101|test_cleanup_old_backups_performance|fn test_cleanup_old_backups_performance()|No description|None|()|cfg_test
src/reedcms/backup/cleanup_test.rs|128|test_cleanup_old_backups_exactly_32|fn test_cleanup_old_backups_exactly_32()|No description|None|()|cfg_test
src/reedcms/backup/create.rs|44|create_backup|pub fn create_backup<P: AsRef<Path>>(source_path: P) -> ReedResult<PathBuf>|Creates an XZ-compressed backup of a CSV file.|source_path: P|ReedResult<PathBuf>|active
src/reedcms/backup/create_test.rs|10|create_test_file|fn create_test_file(content: &str) -> PathBuf|No description|content: &str|PathBuf|cfg_test
src/reedcms/backup/create_test.rs|19|cleanup_test_dir|fn cleanup_test_dir(path: &PathBuf)|No description|path: &PathBuf|()|cfg_test
src/reedcms/backup/create_test.rs|26|test_create_backup_basic|fn test_create_backup_basic()|No description|None|()|cfg_test
src/reedcms/backup/create_test.rs|41|test_create_backup_creates_backup_dir|fn test_create_backup_creates_backup_dir()|No description|None|()|cfg_test
src/reedcms/backup/create_test.rs|56|test_create_backup_compression_ratio|fn test_create_backup_compression_ratio()|No description|None|()|cfg_test
src/reedcms/backup/create_test.rs|81|test_create_backup_timestamp_format|fn test_create_backup_timestamp_format()|No description|None|()|cfg_test
src/reedcms/backup/create_test.rs|103|test_create_backup_multiple_backups|fn test_create_backup_multiple_backups()|No description|None|()|cfg_test
src/reedcms/backup/create_test.rs|123|test_create_backup_empty_file|fn test_create_backup_empty_file()|No description|None|()|cfg_test
src/reedcms/backup/create_test.rs|136|test_create_backup_large_file|fn test_create_backup_large_file()|No description|None|()|cfg_test
src/reedcms/backup/create_test.rs|162|test_create_backup_file_not_found|fn test_create_backup_file_not_found()|No description|None|()|cfg_test
src/reedcms/backup/create_test.rs|168|test_create_backup_no_temp_file_left|fn test_create_backup_no_temp_file_left()|No description|None|()|cfg_test
src/reedcms/backup/list.rs|57|list_backups|pub fn list_backups<P: AsRef<Path>>(source_path: P) -> ReedResult<Vec<BackupInfo>>|Lists all backups for a given CSV file.|source_path: P|ReedResult<Vec<BackupInfo>>|active
src/reedcms/backup/list_test.rs|10|create_test_file|fn create_test_file(content: &str) -> PathBuf|No description|content: &str|PathBuf|cfg_test
src/reedcms/backup/list_test.rs|19|cleanup_test_dir|fn cleanup_test_dir(path: &PathBuf)|No description|path: &PathBuf|()|cfg_test
src/reedcms/backup/list_test.rs|26|test_list_backups_empty|fn test_list_backups_empty()|No description|None|()|cfg_test
src/reedcms/backup/list_test.rs|39|test_list_backups_single|fn test_list_backups_single()|No description|None|()|cfg_test
src/reedcms/backup/list_test.rs|53|test_list_backups_multiple|fn test_list_backups_multiple()|No description|None|()|cfg_test
src/reedcms/backup/list_test.rs|69|test_list_backups_sorted_newest_first|fn test_list_backups_sorted_newest_first()|No description|None|()|cfg_test
src/reedcms/backup/list_test.rs|88|test_list_backups_filters_other_files|fn test_list_backups_filters_other_files()|No description|None|()|cfg_test
src/reedcms/backup/list_test.rs|111|test_list_backups_backup_info_fields|fn test_list_backups_backup_info_fields()|No description|None|()|cfg_test
src/reedcms/backup/list_test.rs|129|test_list_backups_performance|fn test_list_backups_performance()|No description|None|()|cfg_test
src/reedcms/backup/restore.rs|45|restore_backup|pub fn restore_backup<P: AsRef<Path>, Q: AsRef<Path>>( backup_path: P, destination_path: Q, ) -> ReedResult<()>|Restores a CSV file from an XZ-compressed backup.|backup_path: P; destination_path: Q|ReedResult<()>|active
src/reedcms/backup/restore_test.rs|10|create_test_file|fn create_test_file(content: &str) -> PathBuf|No description|content: &str|PathBuf|cfg_test
src/reedcms/backup/restore_test.rs|19|cleanup_test_dir|fn cleanup_test_dir(path: &PathBuf)|No description|path: &PathBuf|()|cfg_test
src/reedcms/backup/restore_test.rs|26|test_restore_backup_basic|fn test_restore_backup_basic()|No description|None|()|cfg_test
src/reedcms/backup/restore_test.rs|48|test_restore_backup_to_different_location|fn test_restore_backup_to_different_location()|No description|None|()|cfg_test
src/reedcms/backup/restore_test.rs|68|test_restore_backup_overwrites_existing|fn test_restore_backup_overwrites_existing()|No description|None|()|cfg_test
src/reedcms/backup/restore_test.rs|87|test_restore_backup_empty_file|fn test_restore_backup_empty_file()|No description|None|()|cfg_test
src/reedcms/backup/restore_test.rs|102|test_restore_backup_large_file|fn test_restore_backup_large_file()|No description|None|()|cfg_test
src/reedcms/backup/restore_test.rs|132|test_restore_backup_file_not_found|fn test_restore_backup_file_not_found()|No description|None|()|cfg_test
src/reedcms/backup/restore_test.rs|142|test_restore_backup_round_trip|fn test_restore_backup_round_trip()|No description|None|()|cfg_test
src/reedcms/backup/restore_test.rs|164|test_restore_backup_no_temp_file_left|fn test_restore_backup_no_temp_file_left()|No description|None|()|cfg_test
src/reedcms/cli/agent_commands.rs|39|add|pub fn add(args: &[String], flags: &HashMap<String, String>) -> ReedResult<ReedResponse<String>>|Add new agent to registry.|args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/agent_commands.rs|125|list|pub fn list(_args: &[String], flags: &HashMap<String, String>) -> ReedResult<ReedResponse<String>>|List all registered agents.|_args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/agent_commands.rs|164|show|pub fn show(args: &[String], _flags: &HashMap<String, String>) -> ReedResult<ReedResponse<String>>|Show agent details.|args: &[String]; _flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/agent_commands.rs|199|test|pub fn test(args: &[String], flags: &HashMap<String, String>) -> ReedResult<ReedResponse<String>>|Test agent connection.|args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/agent_commands.rs|236|update|pub fn update( args: &[String], flags: &HashMap<String, String>, ) -> ReedResult<ReedResponse<String>>|Update agent configuration.|args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/agent_commands.rs|285|remove|pub fn remove( args: &[String], flags: &HashMap<String, String>, ) -> ReedResult<ReedResponse<String>>|Remove agent from registry.|args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/agent_commands.rs|331|generate|pub fn generate( args: &[String], flags: &HashMap<String, String>, ) -> ReedResult<ReedResponse<String>>|Generate content with AI agent (placeholder).|args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/agent_commands.rs|395|translate|pub fn translate( args: &[String], flags: &HashMap<String, String>, ) -> ReedResult<ReedResponse<String>>|Translate content with AI agent (placeholder).|args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/build_commands.rs|32|build_kernel|pub fn build_kernel( _args: &[String], flags: &HashMap<String, String>, ) -> ReedResult<ReedResponse<String>>|Build kernel binary with cargo.|_args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/build_commands.rs|142|build_public|pub fn build_public( _args: &[String], flags: &HashMap<String, String>, ) -> ReedResult<ReedResponse<String>>|Build public assets (placeholder).|_args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/build_commands.rs|192|build_complete|pub fn build_complete( args: &[String], flags: &HashMap<String, String>, ) -> ReedResult<ReedResponse<String>>|Run complete build pipeline.|args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/build_commands.rs|262|build_watch|pub fn build_watch( _args: &[String], flags: &HashMap<String, String>, ) -> ReedResult<ReedResponse<String>>|Start watch mode for development (placeholder).|_args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/data_commands.rs|38|set_text|pub fn set_text( args: &[String], flags: &HashMap<String, String>, ) -> ReedResult<ReedResponse<String>>|Sets text content via CLI.|args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/data_commands.rs|108|set_route|pub fn set_route( args: &[String], flags: &HashMap<String, String>, ) -> ReedResult<ReedResponse<String>>|Sets route mapping via CLI.|args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/data_commands.rs|171|set_meta|pub fn set_meta( args: &[String], flags: &HashMap<String, String>, ) -> ReedResult<ReedResponse<String>>|Sets metadata via CLI.|args: &[String]; flags: &HashMap<String, String>|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/data_commands.rs|243|get_text|pub fn get_text(args: &[String]) -> ReedResult<ReedResponse<String>>|Gets text content via CLI.|args: &[String]|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/data_commands.rs|287|get_route|pub fn get_route(args: &[String]) -> ReedResult<ReedResponse<String>>|Gets route mapping via CLI.|args: &[String]|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/data_commands.rs|325|get_meta|pub fn get_meta(args: &[String]) -> ReedResult<ReedResponse<String>>|Gets metadata via CLI.|args: &[String]|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/data_commands.rs|374|list_text|pub fn list_text(args: &[String]) -> ReedResult<ReedResponse<String>>|Lists text keys matching pattern.|args: &[String]|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/data_commands.rs|412|list_route|pub fn list_route(args: &[String]) -> ReedResult<ReedResponse<String>>|Lists route keys matching pattern.|args: &[String]|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/data_commands.rs|448|list_meta|pub fn list_meta(args: &[String]) -> ReedResult<ReedResponse<String>>|Lists meta keys matching pattern.|args: &[String]|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/data_commands.rs|487|matches_pattern|fn matches_pattern(key: &str, pattern: &str) -> bool|Matches a key against a glob-style pattern.|key: &str; pattern: &str|bool|active
src/reedcms/cli/data_commands_test.rs|13|create_test_csv|fn create_test_csv(path: &str, records: Vec<CsvRecord>)|Creates a test CSV file with sample data.|path: &str; records: Vec<CsvRecord>|()|cfg_test
src/reedcms/cli/data_commands_test.rs|22|cleanup_test_csv|fn cleanup_test_csv(path: &str)|Cleans up test CSV files.|path: &str|()|cfg_test
src/reedcms/cli/data_commands_test.rs|27|cleanup_reed_dir|fn cleanup_reed_dir()|Cleans up .reed directory after tests.|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|32|test_set_text_success|fn test_set_text_success()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|52|test_set_text_missing_args|fn test_set_text_missing_args()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|61|test_set_text_missing_desc_flag|fn test_set_text_missing_desc_flag()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|70|test_set_text_desc_too_short|fn test_set_text_desc_too_short()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|80|test_set_route_success|fn test_set_route_success()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|101|test_set_meta_success|fn test_set_meta_success()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|122|test_get_text_success|fn test_get_text_success()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|145|test_get_text_missing_key|fn test_get_text_missing_key()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|157|test_get_text_no_args|fn test_get_text_no_args()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|164|test_get_route_success|fn test_get_route_success()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|186|test_get_meta_success|fn test_get_meta_success()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|208|test_list_text_all|fn test_list_text_all()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|245|test_list_text_with_prefix_pattern|fn test_list_text_with_prefix_pattern()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|282|test_list_text_with_suffix_pattern|fn test_list_text_with_suffix_pattern()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|319|test_list_text_no_matches|fn test_list_text_no_matches()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|341|test_list_route_success|fn test_list_route_success()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|372|test_list_meta_success|fn test_list_meta_success()|No description|None|()|cfg_test
src/reedcms/cli/data_commands_test.rs|403|test_round_trip_set_and_get|fn test_round_trip_set_and_get()|No description|None|()|cfg_test
src/reedcms/cli/help.rs|32|print_general_help|pub fn print_general_help() -> ReedResult<ReedResponse<String>>|Prints general help overview.|None|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/help.rs|120|print_command_help|pub fn print_command_help(namespace: &str, action: &str) -> ReedResult<ReedResponse<String>>|Prints command-specific help.|namespace: &str; action: &str|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/help.rs|283|print_version|pub fn print_version() -> ReedResult<ReedResponse<String>>|Prints version information.|None|ReedResult<ReedResponse<String>>|active
src/reedcms/cli/help.rs|301|generate_usage|pub fn generate_usage(info: &CommandInfo) -> String|Generates usage string from command info.|info: &CommandInfo|String|active
src/reedcms/cli/help.rs|323|list_commands|pub fn list_commands() -> Vec<CommandInfo>|Lists all commands with descriptions.|None|Vec<CommandInfo>|active
src/reedcms/cli/help_test.rs|9|test_print_general_help|fn test_print_general_help()|No description|None|()|cfg_test
src/reedcms/cli/help_test.rs|27|test_print_general_help_contains_all_categories|fn test_print_general_help_contains_all_categories()|No description|None|()|cfg_test
src/reedcms/cli/help_test.rs|52|test_print_general_help_contains_flags|fn test_print_general_help_contains_flags()|No description|None|()|cfg_test
src/reedcms/cli/help_test.rs|63|test_print_command_help_data_get|fn test_print_command_help_data_get()|No description|None|()|cfg_test
src/reedcms/cli/help_test.rs|74|test_print_command_help_data_set|fn test_print_command_help_data_set()|No description|None|()|cfg_test
src/reedcms/cli/help_test.rs|83|test_print_command_help_layout_create|fn test_print_command_help_layout_create()|No description|None|()|cfg_test
