key|value|comment
knowledge-term.actix-web.cons.5@de|Ownership-Konzept kann frustrierend sein|Content text for de locale
knowledge-term.actix-web.pros.title@de|Vorteile|Content text for de locale
knowledge-term.actix-web.pros.1@de|Beste Performance aller Web-Frameworks|Content text for de locale
knowledge-term.actix-web.pros.2@de|Memory-Safety ohne Garbage Collector|Content text for de locale
knowledge-term.actix-web.pros.3@de|Type-Safety verhindert viele Bugs|Content text for de locale
knowledge-term.actix-web.pros.4@de|Extrem niedrige Latenz und CPU-Nutzung|Content text for de locale
knowledge-term.actix-web.pros.5@de|Produktionsreif und battle-tested|Content text for de locale
knowledge-term.actix-web.syntax.label@de|Syntax|Content text for de locale
knowledge-term.actix-web.syntax.value@de|Rust mit async/await|Content text for de locale
knowledge-term.actix-web.security.label@de|Sicherheit|Content text for de locale
knowledge-term.actix-web.security.value@de|Sehr sicher (Memory-Safety durch Rust)|Content text for de locale
knowledge-term.actix-web.performance.label@de|Performance|Content text for de locale
knowledge-term.actix-web.performance.value@de|Weltklasse-Performance|Content text for de locale
knowledge-term.actix-web.title@en|Actix-Web|Content text for en locale
knowledge-term.actix-web.category.label@en|Category|Content text for en locale
knowledge-term.actix-web.category.value@en|Web Framework|Content text for en locale
knowledge-term.actix-web.stable.label@en|Stable since|Content text for en locale
knowledge-term.actix-web.stable.value@en|2018|Content text for en locale
knowledge-term.actix-web.creator.label@en|Creator|Content text for en locale
knowledge-term.actix-web.creator.value@en|Nikolay Kim|Content text for en locale
knowledge-term.actix-web.project.label@en|Project|Content text for en locale
knowledge-term.actix-web.project.value@en|"<a href=""https://github.com/actix/actix-web"" target=""_blank"">Actix-Web GitHub Project</a>"|Content text for en locale
knowledge-term.actix-web.description@en|Actix-Web is an extremely fast, pragmatic, and open-source web framework for Rust. It's based on the Actor model and uses Tokio as its asynchronous runtime. In TechEmpower benchmarks, it regularly ranks at the top for request processing, significantly outperforming established frameworks like Node.js or Go. This impressive performance is due to Rust's zero-cost abstraction and clever use of async/await. The framework offers everything modern web applications need: middleware system, WebSockets, HTTP/2, TLS, request router, and automatic deserialization. Particularly noteworthy is the type safety: many errors that occur at runtime in other languages are caught at compile time. This website runs on Actix-Web, proving its production readiness.|Content text for en locale
knowledge-term.actix-web.enterprise@en|Used by Microsoft (Azure IoT), Cloudflare (Workers), Discord (backend services), Dropbox (Magic Pocket Storage), and many startups that prioritize maximum performance and reliability.|Content text for en locale
knowledge-term.actix-web.compare.title@en|Assessment|Content text for en locale
knowledge-term.actix-web.compare.subtitle@en|Honest assessment of the technology|Content text for en locale
knowledge-term.actix-web.cons.title@en|Disadvantages|Content text for en locale
knowledge-term.actix-web.cons.1@en|Rust knowledge required|Content text for en locale
knowledge-term.actix-web.cons.2@en|Longer compilation times|Content text for en locale
knowledge-term.actix-web.cons.3@en|Smaller community than Node.js/Python|Content text for en locale
knowledge-term.actix-web.cons.4@en|Fewer third-party packages|Content text for en locale
knowledge-term.actix-web.cons.5@en|Ownership concept can be frustrating|Content text for en locale
knowledge-term.actix-web.pros.title@en|Advantages|Content text for en locale
knowledge-term.actix-web.pros.1@en|Best performance of all web frameworks|Content text for en locale
knowledge-term.actix-web.pros.2@en|Memory safety without garbage collector|Content text for en locale
knowledge-term.actix-web.pros.3@en|Type safety prevents many bugs|Content text for en locale
knowledge-term.actix-web.pros.4@en|Extremely low latency and CPU usage|Content text for en locale
knowledge-term.actix-web.pros.5@en|Production-ready and battle-tested|Content text for en locale
knowledge-term.actix-web.syntax.label@en|Syntax|Content text for en locale
knowledge-term.actix-web.syntax.value@en|Rust with async/await|Content text for en locale
knowledge-term.actix-web.security.label@en|Security|Content text for en locale
knowledge-term.actix-web.security.value@en|Very secure (memory safety through Rust)|Content text for en locale
knowledge-term.actix-web.performance.label@en|Performance|Content text for en locale
knowledge-term.actix-web.performance.value@en|World-class performance|Content text for en locale
knowledge-term.actix-web@de|Actix-Web|Index display name
knowledge-term.actix-web@en|Actix-Web|Index display name
